Title,Subtitle,DateTime
MOTIONS,Parliamentary Precincts—Addition and Exclusion of Premises,2021-12-07 15:05:07
AHURIRI HAPŪ CLAIMS SETTLEMENT BILL,In Committee,2021-12-07 15:06:39
URGENT DEBATES,COVID-19 Response—Report into Deaths in Self-Isolation,2021-12-07 16:49:34
RESOURCE MANAGEMENT (ENABLING HOUSING SUPPLY AND OTHER MATTERS) AMENDMENT BILL,Discharge and Referral to Environment Committee—Not Agreed,2021-12-07 19:20:55
"BIRTHS, DEATHS, MARRIAGES, AND RELATIONSHIPS REGISTRATION BILL",In Committee,2021-12-07 20:49:00
SEXUAL VIOLENCE LEGISLATION BILL,In Committee,2021-12-07 20:51:26
STANDING ORDERS,Sessional,2021-11-25 14:46:44
MĀORI PURPOSES BILL,First Reading,2021-11-25 14:55:57
CROWN MINERALS (DECOMMISSIONING AND OTHER MATTERS) AMENDMENT BILL,Third Reading,2021-11-25 15:54:53
COVID-19 RESPONSE (VACCINATIONS) LEGISLATION BILL,In Committee,2021-11-24 09:00:01
SPEAKER'S RULINGS,COVID-19 Response (Vaccinations) Legislation Bill—Third Reading Debate,2021-11-24 12:50:59
COVID-19 RESPONSE (VACCINATIONS) LEGISLATION BILL,Recommittal,2021-11-24 12:53:11
COVID-19 RESPONSE (VACCINATIONS) LEGISLATION BILL,Third Reading,2021-11-24 15:03:15
TAXATION (COVID-19 SUPPORT PAYMENTS AND WORKING FOR FAMILIES TAX CREDITS) BILL,First Reading,2021-11-24 16:06:27
MOTIONS,COVID-19 Response (Vaccinations) Legislation Act 2021—Health Committee Inquiry,2021-11-24 16:06:55
TAXATION (COVID-19 SUPPORT PAYMENTS AND WORKING FOR FAMILIES TAX CREDITS) BILL,First Reading,2021-11-24 16:07:23
MORIORI CLAIMS SETTLEMENT BILL,In Committee,2021-11-23 15:01:17
DRUG AND SUBSTANCE CHECKING LEGISLATION BILL (NO 2),Third Reading,2021-11-23 16:51:20
COVID-19 RESPONSE (VACCINATIONS) LEGISLATION BILL,First Reading,2021-11-23 17:10:31
POINTS OF ORDER,COVID-19 Public Health Response Amendment Bill (No 2)—Voting Process,2021-11-18 14:02:02
COVID-19 PUBLIC HEALTH RESPONSE AMENDMENT BILL (NO 2),Third Reading,2021-11-18 15:01:11
DRUG AND SUBSTANCE CHECKING LEGISLATION BILL (NO 2),Third Reading,2021-11-18 16:07:03
COVID-19 PUBLIC HEALTH RESPONSE AMENDMENT BILL (NO 2),In Committee,2021-11-18 09:00:16
CROWN MINERALS (DECOMMISSIONING AND OTHER MATTERS) AMENDMENT BILL,In Committee,2021-11-18 11:15:30
COMMERCE AMENDMENT BILL,In Committee,2021-11-18 12:29:05
OBITUARIES,Murray John Finlay Luxton,2021-11-17 14:00:40
THREE STRIKES LEGISLATION REPEAL BILL,First Reading,2021-11-17 16:05:10
INCORPORATED SOCIETIES BILL,Second Reading,2021-11-17 16:46:38
SPECIAL DEBATES,In Committee,2021-11-17 17:00:48
INCORPORATED SOCIETIES BILL,Second Reading,2021-11-17 21:30:38
COVID-19 PUBLIC HEALTH RESPONSE AMENDMENT BILL (NO 2),In Committee,2021-11-17 21:33:21
PARLIAMENTARY SERVICE COMMISSION,Membership,2021-11-16 14:53:31
OFFICES OF PARLIAMENT,Office of the Controller and Auditor-General—Appointment of Auditors,2021-11-16 14:53:57
COVID-19 ORDERS,Approval,2021-11-16 14:55:58
COVID-19 PUBLIC HEALTH RESPONSE AMENDMENT BILL (NO 2),Second Reading,2021-11-16 15:29:32
CROWN MINERALS (DECOMMISSIONING AND OTHER MATTERS) AMENDMENT BILL,Second Reading,2021-11-16 16:42:57
DRUG AND SUBSTANCE CHECKING LEGISLATION BILL (NO 2),In Committee,2021-11-16 19:00:38
"EDUCATION AND TRAINING (TEACHING COUNCIL FEES, LEVIES, AND COSTS) AMENDMENT BILL",Third Reading,2021-11-16 19:48:39
OVERSIGHT OF ORANGA TAMARIKI SYSTEM AND CHILDREN AND YOUNG PEOPLE'S COMMISSION BILL,First Reading,2021-11-16 21:01:53
THREE STRIKES LEGISLATION REPEAL BILL,First Reading,2021-11-16 21:17:05
VOTING,Correction—Oversight of Oranga Tamariki System and Children and Young People's Commission Bill,2021-11-16 21:50:18
THREE STRIKES LEGISLATION REPEAL BILL,First Reading,2021-11-16 21:51:37
OVERSIGHT OF ORANGA TAMARIKI SYSTEM AND CHILDREN AND YOUNG PEOPLE'S COMMISSION BILL,First Reading,2021-11-11 16:03:30
NEW ZEALAND SUPERANNUATION AND RETIREMENT INCOME (FAIR RESIDENCY) AMENDMENT BILL,Third Reading,2021-11-10 15:50:44
SUNSCREEN (PRODUCT SAFETY STANDARD) BILL,Second Reading,2021-11-10 17:29:47
HARMFUL DIGITAL COMMUNICATIONS (UNAUTHORISED POSTING OF INTIMATE VISUAL RECORDING) AMENDMENT BILL,Second Reading,2021-11-10 19:58:15
SPEAKER'S RULINGS,"Contraception, Sterilisation, and Abortion (Safe Areas) Amendment Bill—Process",2021-11-10 21:36:28
"CONTRACEPTION, STERILISATION, AND ABORTION (SAFE AREAS) AMENDMENT BILL",Second Reading,2021-11-10 21:37:16
MARITIME TRANSPORT (MARPOL ANNEX VI) AMENDMENT BILL,Third Reading,2021-11-10 09:00:25
DATA AND STATISTICS BILL,First Reading,2021-11-10 09:22:17
COMMERCE AMENDMENT BILL,Second Reading,2021-11-10 10:27:39
CROWN PASTORAL LAND REFORM BILL,Second Reading,2021-11-10 10:37:34
PROTECTED DISCLOSURES (PROTECTION OF WHISTLEBLOWERS) BILL,Second Reading,2021-11-10 11:14:06
INCORPORATED SOCIETIES BILL,Second Reading,2021-11-10 12:12:00
OBITUARIES,Dame Catherine Tizard,2021-11-09 14:04:09
SPEAKER'S RULINGS,Face Masks—Political Logos,2021-11-09 15:11:07
URGENT DEBATES DECLINED,COVID-19—Public Relations in Relation to COVID-19 Vaccine,2021-11-09 15:11:57
MORIORI CLAIMS SETTLEMENT BILL,Second Reading,2021-11-09 15:13:39
HEALTH (FLUORIDATION OF DRINKING WATER) AMENDMENT BILL,Third Reading,2021-11-09 16:58:37
DRUG AND SUBSTANCE CHECKING LEGISLATION BILL (NO 2),Second Reading,2021-11-09 19:13:21
"EDUCATION AND TRAINING (TEACHING COUNCIL FEES, LEVIES, AND COSTS) AMENDMENT BILL",In Committee,2021-11-09 20:22:15
EDUCATION AND TRAINING AMENDMENT BILL,In Committee,2021-11-09 21:21:21
MARITIME TRANSPORT (MARPOL ANNEX VI) AMENDMENT BILL,Third Reading,2021-11-09 21:32:57
COVID-19 RESPONSE (MANAGEMENT MEASURES) LEGISLATION BILL,Third Reading,2021-10-28 14:56:46
"FILMS, VIDEOS, AND PUBLICATIONS CLASSIFICATION (URGENT INTERIM CLASSIFICATION OF PUBLICATIONS AND PREVENTION OF ONLINE HARM) AMENDMENT BILL",Third Reading,2021-10-28 16:05:43
COVID-19 RESPONSE (MANAGEMENT MEASURES) LEGISLATION BILL,In Committee,2021-10-28 09:00:17
COVID-19 RESPONSE (MANAGEMENT MEASURES) LEGISLATION BILL,In Committee,2021-10-28 09:32:24
MENTAL HEALTH (COMPULSORY ASSESSMENT AND TREATMENT) AMENDMENT BILL,Third Reading,2021-10-28 11:45:24
VOTING,Correction—COVID-19 Response (Management Measures) Legislation Bill,2021-10-28 12:40:28
"FILMS, VIDEOS, AND PUBLICATIONS CLASSIFICATION (URGENT INTERIM CLASSIFICATION OF PUBLICATIONS AND PREVENTION OF ONLINE HARM) AMENDMENT BILL",Third Reading,2021-10-28 12:41:40
VOTING,Correction—COVID-19 Response (Management Measures) Legislation Bill,2021-10-28 12:48:37
"FILMS, VIDEOS, AND PUBLICATIONS CLASSIFICATION (URGENT INTERIM CLASSIFICATION OF PUBLICATIONS AND PREVENTION OF ONLINE HARM) AMENDMENT BILL",Third Reading,2021-10-28 12:49:06
URGENT DEBATES DECLINED,ACC—Privacy Protections,2021-10-27 14:56:23
PAE ORA (HEALTHY FUTURES) BILL,First Reading,2021-10-27 16:56:30
 COVID-19 RESPONSE (MANAGEMENT MEASURES) LEGISLATION BILL,In Committee,2021-10-27 20:05:27
RESOURCE MANAGEMENT (ENABLING HOUSING SUPPLY AND OTHER MATTERS) AMENDMENT BILL,First Reading,2021-10-26 14:56:07
MENTAL HEALTH (COMPULSORY ASSESSMENT AND TREATMENT) AMENDMENT BILL,In Committee,2021-10-26 16:36:01
"FILMS, VIDEOS, AND PUBLICATIONS CLASSIFICATION (URGENT INTERIM CLASSIFICATION OF PUBLICATIONS AND PREVENTION OF ONLINE HARM) AMENDMENT BILL",In Committee,2021-10-26 16:54:57
MARITIME TRANSPORT (MARPOL ANNEX VI) AMENDMENT BILL,In Committee,2021-10-26 17:26:12
HEALTH (FLUORIDATION OF DRINKING WATER) AMENDMENT BILL,In Committee,2021-10-26 19:01:12
RETAIL PAYMENT SYSTEM BILL,First Reading,2021-10-26 19:42:07
REMUNERATION AUTHORITY LEGISLATION BILL,First Reading,2021-10-26 20:38:04
SPEAKER'S RULINGS,"Interpretation of ""Business Attire""",2021-10-21 14:55:16
POINTS OF ORDER,COVID-19 Vaccination,2021-10-21 14:56:18
FINANCIAL SECTOR (CLIMATE-RELATED DISCLOSURES AND OTHER MATTERS) AMENDMENT BILL,Third Reading,2021-10-21 14:57:53
REGIONAL COMPREHENSIVE ECONOMIC PARTNERSHIP (RCEP) LEGISLATION BILL,Third Reading,2021-10-21 15:58:01
SPEAKER'S RULINGS,Written Questions—Replies,2021-10-20 14:00:47
OBITUARIES,Sean Wainui,2021-10-20 14:04:59
ARMS (FIREARMS PROHIBITION ORDERS) AMENDMENT BILL (NO 2),Second Reading,2021-10-20 16:08:09
FREEDOM CAMPING (INFRINGEMENT OFFENCES AND OTHER MATTERS) AMENDMENT BILL,First Reading,2021-10-20 17:51:19
CRIMES (CHILD EXPLOITATION OFFENCES) AMENDMENT BILL,First Reading,2021-10-20 19:11:41
PROTECTION OF JOURNALISTS' SOURCES BILL,First Reading,2021-10-20 20:14:13
PLAIN LANGUAGE BILL,First Reading,2021-10-20 21:16:14
DIGITAL IDENTITY SERVICES TRUST FRAMEWORK BILL,First Reading,2021-10-20 09:00:13
EDUCATION AND TRAINING (TEACHING COUNCIL FEES AND COSTS) AMENDMENT BILL,Second Reading,2021-10-20 10:02:49
EDUCATION AND TRAINING AMENDMENT BILL,Second Reading,2021-10-20 11:14:59
COMMERCE AMENDMENT BILL,Second Reading,2021-10-20 12:06:10
OBITUARIES,John Murray Rose QSM,2021-10-19 14:00:53
STANDING ORDERS,Sessional,2021-10-19 15:03:18
COVID-19 RESPONSE (MANAGEMENT MEASURES) LEGISLATION BILL,Second Reading,2021-10-19 15:03:42
FINANCIAL SECTOR (CLIMATE-RELATED DISCLOSURES AND OTHER MATTERS) AMENDMENT BILL,In Committee,2021-10-19 16:21:57
REGIONAL COMPREHENSIVE ECONOMIC PARTNERSHIP (RCEP) LEGISLATION BILL,In Committee,2021-10-19 17:43:25
MENTAL HEALTH (COMPULSORY ASSESSMENT AND TREATMENT) AMENDMENT BILL,Second Reading,2021-10-19 19:07:18
"FILMS, VIDEOS, AND PUBLICATIONS CLASSIFICATION (URGENT INTERIM CLASSIFICATION OF PUBLICATIONS AND PREVENTION OF ONLINE HARM) AMENDMENT BILL",Second Reading,2021-10-19 19:28:09
ANIMAL WELFARE AMENDMENT BILL,First Reading,2021-10-19 20:35:24
DIGITAL IDENTITY SERVICES TRUST FRAMEWORK BILL,First Reading,2021-10-19 21:47:53
TE PIRE MŌ TE HARAREI TŪMATANUI O TE KĀHUI O MATARIKI/TE KĀHUI O MATARIKI PUBLIC HOLIDAY BILL,First Reading,2021-09-30 14:56:51
MENTAL HEALTH (COMPULSORY ASSESSMENT AND TREATMENT) AMENDMENT BILL,Second Reading,2021-09-30 16:33:50
COUNTER-TERRORISM LEGISLATION BILL,Third Reading,2021-09-30 09:00:14
SOCIAL SECURITY (SUBSEQUENT CHILD POLICY REMOVAL) AMENDMENT BILL,Third Reading,2021-09-30 09:34:13
CIVIL AVIATION BILL,First Reading,2021-09-30 10:44:10
ELECTRICITY INDUSTRY AMENDMENT BILL,First Reading,2021-09-30 11:53:00
MOTIONS,Te Rōpū Wāhine Māori Toko i te Ora—70th Anniversary,2021-09-29 14:00:41
COVID-19 RESPONSE (MANAGEMENT MEASURES) LEGISLATION BILL,First Reading,2021-09-29 16:04:01
COVID-19 PUBLIC HEALTH RESPONSE AMENDMENT BILL (NO 2),First Reading,2021-09-29 19:05:45
COUNTER-TERRORISM LEGISLATION BILL,Third Reading,2021-09-29 21:13:05
COVID-19 ORDERS,Approval,2021-09-28 14:56:56
COUNTER-TERRORISM LEGISLATION BILL,In Committee,2021-09-28 15:22:17
SOCIAL SECURITY (SUBSEQUENT CHILD POLICY REMOVAL) AMENDMENT BILL,In Committee,2021-09-28 16:10:47
WATER SERVICES BILL,Third Reading,2021-09-28 17:01:02
FINANCIAL SECTOR (CLIMATE-RELATED DISCLOSURES AND OTHER MATTERS) AMENDMENT BILL,Second Reading,2021-09-28 19:18:07
REGIONAL COMPREHENSIVE ECONOMIC PARTNERSHIP (RCEP) LEGISLATION BILL,Second Reading,2021-09-28 19:44:44
MARITIME TRANSPORT (MARPOL ANNEX VI) AMENDMENT BILL,Second Reading,2021-09-28 20:48:29
MENTAL HEALTH (COMPULSORY ASSESSMENT AND TREATMENT) AMENDMENT BILL,Second Reading,2021-09-28 21:40:04
"TAXATION (ANNUAL RATES FOR 2021-22, GST, AND REMEDIAL MATTERS) BILL",First Reading,2021-09-23 14:53:40
WATER SERVICES BILL,In Committee,2021-09-23 14:56:33
FINANCIAL SECTOR (CLIMATE-RELATED DISCLOSURES AND OTHER MATTERS) AMENDMENT BILL,Second Reading,2021-09-23 16:08:16
SPEAKER'S OBSERVATIONS,Interjections—Microphones,2021-09-22 14:01:16
HUMAN RIGHTS (DISABILITY ASSIST DOGS NON-DISCRIMINATION) AMENDMENT BILL,First Reading,2021-09-22 15:55:54
RESOURCE MANAGEMENT (REGIONAL RESPONSIBILITY FOR CERTAIN AGRICULTURAL MATTERS) AMENDMENT BILL,First Reading,2021-09-22 16:54:03
AUTONOMOUS SANCTIONS BILL,First Reading,2021-09-22 19:00:00
LOCAL GOVERNMENT (PECUNIARY INTERESTS REGISTER) AMENDMENT BILL,First Reading,2021-09-22 20:06:17
FREEDOM CAMPING (INFRINGEMENT OFFENCES AND OTHER MATTERS) AMENDMENT BILL,First Reading,2021-09-22 21:11:10
COUNTER-TERRORISM LEGISLATION BILL,Second Reading,2021-09-21 15:04:16
LAND TRANSPORT (CLEAN VEHICLES) AMENDMENT BILL,First Reading,2021-09-21 16:30:44
SPEAKER'S RULINGS,COVID-19 Public Health Response Amendment Bill—Reprinting of Bill,2021-09-21 17:36:51
OVERSEAS INVESTMENT (EXEMPT INVESTMENT FROM OECD COUNTRIES) AMENDMENT BILL,Postponement,2021-09-21 17:37:27
LAND TRANSPORT (CLEAN VEHICLES) AMENDMENT BILL,First Reading,2021-09-21 17:38:19
WATER SERVICES BILL,Second Reading,2021-09-21 19:03:11
SOCIAL SECURITY (SUBSEQUENT CHILD POLICY REMOVAL) AMENDMENT BILL,Second Reading,2021-09-21 20:13:31
"TAXATION (ANNUAL RATES FOR 2021-22, GST, AND REMEDIAL MATTERS) BILL",First Reading,2021-09-21 21:16:40
MOTIONS,New Zealand Paralympics Team—Congratulations,2021-09-09 14:00:37
SPEAKER'S OBSERVATIONS,Tongan Language Week—Prayer,2021-09-09 14:15:08
IMPREST SUPPLY (SECOND FOR 2021/22) BILL,Second Reading,2021-09-09 14:53:49
IMPREST SUPPLY (SECOND FOR 2021/22) BILL,Third Reading,2021-09-09 15:48:56
URGENT DEBATES DECLINED,COVID-19 Response—Middlemore Hospital Patient,2021-09-08 14:35:12
ESTIMATES DEBATE,In Committee,2021-09-08 15:39:16
IMPREST SUPPLY (SECOND FOR 2021/22) BILL,First Reading,2021-09-08 16:52:59
IMPREST SUPPLY (SECOND FOR 2021/22) BILL,Second Reading,2021-09-08 16:54:27
MINISTERIAL STATEMENTS,Terrorist Attack—LynnMall,2021-09-07 14:00:42
URGENT DEBATES,Terrorist Attack—New Lynn Supermarket,2021-09-07 15:21:03
ESTIMATES DEBATE,In Committee,2021-09-07 16:41:28
ESTIMATES DEBATE,Procedure,2021-09-02 14:02:12
COVID-19 ORDERS,Approval,2021-09-01 15:35:07
MINISTERIAL STATEMENTS,COVID-19—Alert Level Changes,2021-08-31 14:00:37
MINISTERIAL STATEMENTS,COVID-19—Alert Level Changes,2021-08-31 14:21:38
MINISTERIAL STATEMENTS,Afghanistan—New Zealand Defence Force Involvement in Evacuation,2021-08-31 14:31:29
SPEAKER'S RULINGS,Allocation of the Call—COVID-19 Alert Levels 3 and 4,2021-08-31 15:01:45
URGENT DEBATES DECLINED,Defence Force—Afghanistan Evacuation Deployment,2021-08-31 15:50:21
EDUCATION AND TRAINING (TEACHING COUNCIL FEES AND COSTS) AMENDMENT BILL,First Reading,2021-08-12 14:56:28
CROWN PASTORAL LAND REFORM BILL,Second Reading,2021-08-12 16:00:09
URGENT DEBATES,Electricity Supply—Power Outages,2021-08-11 14:52:37
ESTIMATES DEBATE,In Committee,2021-08-11 17:13:12
"BIRTHS, DEATHS, MARRIAGES, AND RELATIONSHIPS REGISTRATION BILL",Second Reading,2021-08-11 19:49:01
LAND TRANSPORT (DRUG DRIVING) AMENDMENT BILL,Second Reading,2021-08-11 21:01:25
MOTIONS,New Zealand Olympic Team—Congratulations,2021-08-10 14:00:50
MINISTERIAL STATEMENTS,"Energy and Resources—Power Outages, 9 August 2021",2021-08-10 14:21:38
URGENT DEBATES,Procedure—Leave to Defer Consideration of Application for Urgent Debate,2021-08-10 14:50:00
SPECIAL DEBATES,Dawn Raids,2021-08-10 15:51:55
URGENT DEBATES DECLINED,Intergovernmental Panel on Climate Change—Release of Report,2021-08-10 16:48:34
URGENT DEBATES,Electricity Supply—Power Outages,2021-08-10 16:49:16
COVID-19 ORDERS,Approval,2021-08-10 16:50:10
RESERVE BANK OF NEW ZEALAND BILL,Third Reading,2021-08-10 17:16:45
FAIR TRADING AMENDMENT BILL,Third Reading,2021-08-10 19:14:10
FAMILY COURT (SUPPORTING CHILDREN IN COURT) LEGISLATION BILL,Third Reading,2021-08-10 19:38:40
HAZARDOUS SUBSTANCES AND NEW ORGANISMS (HAZARDOUS SUBSTANCES ASSESSMENTS) AMENDMENT BILL,First Reading,2021-08-10 20:30:00
MAORI COMMERCIAL AQUACULTURE CLAIMS SETTLEMENT AMENDMENT BILL,Second Reading,2021-08-10 21:34:31
SUBORDINATE LEGISLATION CONFIRMATION BILL,First Reading,2021-08-05 14:57:40
CONVERSION PRACTICES PROHIBITION LEGISLATION BILL,First Reading,2021-08-05 14:58:36
NEW ZEALAND SUPERANNUATION AND RETIREMENT INCOME (FAIR RESIDENCY) AMENDMENT BILL,In Committee,2021-08-04 15:50:47
SECONDHAND DEALERS AND PAWNBROKERS (ELECTRONIC RECORDS) AMENDMENT BILL,First Reading,2021-08-04 16:41:41
INCOME TAX (ADJUSTMENT OF TAXABLE INCOME RANGES) AMENDMENT BILL,First Reading,2021-08-04 17:38:22
REGULATORY STANDARDS BILL,First Reading,2021-08-04 19:47:26
LAND TRANSPORT (VEHICLES RESPONDING TO ELECTRICAL EMERGENCY) AMENDMENT BILL,First Reading,2021-08-04 20:53:36
MINISTERIAL STATEMENTS,COVID-19—Australian Travel Bubble Pause,2021-08-03 14:01:09
APPROPRIATION (2021/22 ESTIMATES) BILL,Estimates Debate—Structure,2021-08-03 14:37:38
URGENT DEBATES DECLINED,Minister of Education—Special Needs Education,2021-08-03 15:32:02
ESTIMATES DEBATE,In Committee,2021-08-03 15:33:26
RESERVE BANK OF NEW ZEALAND BILL,In Committee,2021-08-03 17:25:13
FAMILY COURT (SUPPORTING CHILDREN IN COURT) LEGISLATION BILL,In Committee,2021-08-03 20:26:57
FAIR TRADING AMENDMENT BILL,Third Reading,2021-08-03 21:34:50
GAS (INFORMATION DISCLOSURE AND PENALTIES) AMENDMENT BILL,Third Reading,2021-07-08 14:54:46
SPECIAL DEBATES,Zero Suicide Aotearoa—Report,2021-07-08 15:25:24
ANNUAL REPORTING AND AUDIT TIME FRAMES EXTENSIONS LEGISLATION BILL,In Committee,2021-07-08 09:00:07
EDUCATION AND TRAINING (GRANTS—BUDGET MEASURES) AMENDMENT BILL,Third Reading,2021-07-07 15:52:30
ANNUAL REPORTING AND AUDIT TIME FRAMES EXTENSIONS LEGISLATION BILL,First Reading,2021-07-07 17:03:15
NGĀTI MARU (TARANAKI) CLAIMS SETTLEMENT BILL,First Reading,2021-07-06 15:16:31
EDUCATION AND TRAINING (GRANTS—BUDGET MEASURES) AMENDMENT BILL,In Committee,2021-07-06 17:15:02
MARITIME POWERS BILL,First Reading,2021-07-06 17:52:59
CROWN MINERALS (DECOMMISSIONING AND OTHER MATTERS) AMENDMENT BILL,First Reading,2021-07-06 19:57:49
GAS (INFORMATION DISCLOSURE AND PENALTIES) AMENDMENT BILL,Third Reading,2021-07-06 21:14:56
STANDING ORDERS,Sessional,2021-07-01 14:59:41
EDUCATION AND TRAINING (GRANTS—BUDGET MEASURES) AMENDMENT BILL,Second Reading,2021-07-01 15:14:29
FAMILY COURT (SUPPORTING CHILDREN IN COURT) LEGISLATION BILL,Second Reading,2021-07-01 16:32:56
DISTRICT COURT (PROTECTION OF JUDGMENT DEBTORS WITH DISABILITIES) AMENDMENT BILL,Third Reading,2021-06-30 16:04:50
RIGHTS FOR VICTIMS OF INSANE OFFENDERS BILL,Referral to Justice Committee,2021-06-30 17:47:14
HOLIDAYS (PARENT-TEACHER INTERVIEW LEAVE) AMENDMENT BILL,First Reading,2021-06-30 17:49:44
VOTING,Correction—Holidays (Parent-Teacher Interview Leave) Amendment Bill,2021-06-30 19:00:28
CRIMES (ROBBERY) AMENDMENT BILL,First Reading,2021-06-30 19:10:10
"SYNTHETIC URINE (PROHIBITION ON IMPORTATION, SUPPLY AND ACQUISITION TO PASS A WORKPLACE DRUG TEST) BILL",First Reading,2021-06-30 19:59:53
BIOSECURITY (INFORMATION FOR INCOMING PASSENGERS) AMENDMENT BILL,First Reading,2021-06-30 21:01:29
SECONDHAND DEALERS AND PAWNBROKERS (ELECTRONIC RECORDS) AMENDMENT BILL,First Reading,2021-06-30 21:53:27
MINISTERIAL STATEMENTS,COVID-19—Greater Wellington Region Change to Alert Level 2 and Australian Travel Bubble Pause,1899-12-30 14:00:59
URGENT DEBATES,Ransomware Attack—Waikato District Health Board,2021-06-29 15:17:04
AHURIRI HAPŪ CLAIMS SETTLEMENT BILL,Second Reading,2021-06-29 16:41:00
MOTIONS,Referral to Environment Committee of Exposure Draft and Terms of Reference for Inquiry on Natural and Built Environments Bill: Parliamentary Paper—Leave Denied,2021-06-29 19:17:34
GAS (INFORMATION DISCLOSURE AND PENALTIES) AMENDMENT BILL,In Committee,2021-06-29 19:20:06
MOTIONS,Exposure Draft and Terms of Reference for Inquiry on Natural and Built Environments Bill: Parliamentary Paper—Referral to Environment Committee,2021-06-29 20:09:54
GAS (INFORMATION DISCLOSURE AND PENALTIES) AMENDMENT BILL,In Committee,2021-06-29 20:40:04
RESERVE BANK OF NEW ZEALAND BILL,In Committee,2021-06-29 20:45:03
BLACK CAPS,"World Test Championship, 2019-21",2021-06-24 14:00:54
SPECIAL DEBATES,Student Accommodation Inquiry—Report of the Education and Workforce Committee,2021-06-24 15:05:25
FAMILY COURT (SUPPORTING CHILDREN IN COURT) LEGISLATION BILL,Second Reading,2021-06-24 16:00:15
MINISTERIAL STATEMENTS,COVID-19 Response—Greater Wellington Region Change to Alert Level 2,2021-06-23 14:00:38
URGENT DEBATES DECLINED,COVID-19 Response—Greater Wellington Region Change to Alert Level 2,2021-06-23 15:28:17
INTELLIGENCE AND SECURITY (REVIEW) AMENDMENT BILL,Second Reading,2021-06-23 16:33:46
SOCIAL SECURITY (FINANCIAL ASSISTANCE FOR CAREGIVERS) AMENDMENT BILL,Third Reading,2021-06-23 16:55:50
RESERVE BANK OF NEW ZEALAND BILL,Second Reading,2021-06-23 19:23:56
HEALTH (NATIONAL CERVICAL SCREENING PROGRAMME) AMENDMENT BILL,Third Reading,2021-06-23 20:07:12
GAS (INFORMATION DISCLOSURE AND PENALTIES) AMENDMENT BILL,In Committee,2021-06-23 21:35:15
PRIVILEGE,Privileges Committee Referral—High Court's Treatment of Speech Made in the House,2021-06-22 14:03:07
URGENT DEBATES DECLINED,Revitalising the Gulf—Government Strategy,2021-06-22 15:05:47
NGĀTI RANGITIHI CLAIMS SETTLEMENT BILL,First Reading,2021-06-22 15:06:50
IMPREST SUPPLY (FIRST FOR 2021/22) BILL,Introduction,2021-06-22 16:47:49
IMPREST SUPPLY (FIRST FOR 2021/22) BILL,Second Readings,2021-06-22 16:48:44
APPROPRIATION (2020/21 SUPPLEMENTARY ESTIMATES) BILL,Third Reading,2021-06-22 19:52:01
IMPREST SUPPLY (FIRST FOR 2021/22) BILL,Third Reading,2021-06-22 19:52:30
SOCIAL SECURITY (FINANCIAL ASSISTANCE FOR CAREGIVERS) AMENDMENT BILL,In Committee,2021-06-22 19:53:46
FAIR TRADING AMENDMENT BILL,In Committee,2021-06-22 20:05:11
RESERVE BANK OF NEW ZEALAND BILL,Second Reading,2021-06-22 20:52:55
HEALTH (NATIONAL CERVICAL SCREENING PROGRAMME) AMENDMENT BILL,In Committee,2021-06-10 14:52:01
GAS (INFORMATION DISCLOSURE AND PENALTIES) AMENDMENT BILL,Second Reading,2021-06-10 14:54:01
FINANCIAL MARKETS (CONDUCT OF INSTITUTIONS) AMENDMENT BILL,Second Reading,2021-06-10 16:19:31
MINISTERIAL STATEMENTS,Climate Change—Report of the Climate Change Commission,2021-06-09 14:02:00
DISTRICT COURT (PROTECTION OF JUDGMENT DEBTORS WITH DISABILITIES) AMENDMENT BILL,In Committee,2021-06-09 16:17:58
RIGHTS FOR VICTIMS OF INSANE OFFENDERS BILL,In Committee,2021-06-09 16:29:23
ELECTORAL (INTEGRITY REPEAL) AMENDMENT BILL,Second Reading,2021-06-09 16:38:09
NEW ZEALAND SUPERANNUATION AND RETIREMENT INCOME (FAIR RESIDENCY) AMENDMENT BILL,Second Reading,2021-06-09 17:05:44
EDUCATION (STRENGTHENING SECOND LANGUAGE LEARNING IN PRIMARY AND INTERMEDIATE SCHOOLS) AMENDMENT BILL,Second Reading,2021-06-09 19:49:58
HOLIDAYS (PARENT-TEACHER INTERVIEW LEAVE) AMENDMENT BILL,First Reading,2021-06-09 21:30:17
RESIGNATIONS,"Hon Dr Nick Smith, National Party",2021-06-08 14:00:54
APPROPRIATION (2020/21 SUPPLEMENTARY ESTIMATES) BILL,First Reading,2021-06-08 14:56:37
CONSTRUCTION CONTRACTS (RETENTION MONEY) AMENDMENT BILL,First Reading,2021-06-08 14:57:47
VOTING,Correction—Appropriation (2020/21 Supplementary Estimates) Bill,2021-06-08 15:07:12
CONSTRUCTION CONTRACTS (RETENTION MONEY) AMENDMENT BILL,First Reading,2021-06-08 15:07:37
HEALTH (FLUORIDATION OF DRINKING WATER) AMENDMENT BILL,Second Reading,2021-06-08 16:50:08
SOCIAL SECURITY (FINANCIAL ASSISTANCE FOR CAREGIVERS) AMENDMENT BILL,Second Reading,2021-06-08 19:34:21
OBITUARIES,Dr the Hon Ian John Shearer,2021-06-03 14:01:37
INTELLIGENCE AND SECURITY (REVIEW) AMENDMENT BILL,First Reading,2021-06-03 14:51:58
"BUILDING (BUILDING PRODUCTS AND METHODS, MODULAR COMPONENTS, AND OTHER MATTERS) AMENDMENT BILL",Third Reading,2021-06-03 15:37:09
